strongNumber,hebWord,lang,etymComplete,etymDesc,occurences,variants,morphology,heading,entrycontent,phonemes,multiarticle,occurencesorder,nextentry,preventry
11,אֲבַדּוֹן,H,6+אבד,intensif de H6,"16589,19248,18094,19322,19195",,N_N--L,destruction,"1) destruction, ruine, abîme voir définition 3",ʾăvaddōn,,A03179,12,10
12,אַבְדָ֑ן,H,6+אבד,de H6,20376,,N-M,destruction,1) destruction,ʾavdān,,A05856,13,11
13,אׇבְדַן,H,6+אבד,de H6,20360,,N-M,destruction,1) destruction,ʾovdan,,A05857,14,12
14,אָבָה,H,,racine primaire,"8587,8251,9334,7988,7931,4920,8303,7486,17851,600,11021,1805,597,9448,21887,1432,10693,16494,7036,10749,21888,7846,8249,7722,8588,9813,21859,10190,19565,7051,8085,8260,17686,9665,17706,3546,10125,8221,5507,13265,7069,10743,17701,5701,22123,22828,5282,5198,5556,4970,12871,6488,6848",,V,vouloir,"1) vouloir, accepter, consentir, obéir",ʾāvā,,A00682,15,13
15,בָּיַי,H,14+אבה,de H14,19441,,N-F,non traduit,"1) supplier, désir ardent",bāyay,,A05858,16,14
16,אֵ֫בֶה,H,14+אבה,de H14 (dans le sens de se plier),18799,,N-M,jonc,"1) roseau, papyrus, jonc",ʾēveh,,A05859,17,15
17,אֲבוֹי,H,14+אבה,de H14 (sens de désirer),18349,,INJ,hélas,1) hélas! Oh! (exclamation de peine - indique désir ou insatisfaction),ʾăvōy,,A05860,18,16
18,אֵבוּס,H,75+אבס,de H75,"19565,10174,18052",,N-M,crèche,"1) mangeoire, crèche",ʾēvūs,,A04017,19,17
19,אִבְחָה,H,,d'une racine du sens de tourner,13321,,N-F,pointe (de l'épée),"1) abattre, chair, viande, viande abattue",ʾivḥā,,A05861,20,18
20,אֲבַטִּחִים,H,,dérivation incertaine,4030,,N-M,melons,"1) melon d'eau, fruit égyptien",ʾăvaṭṭiḥīm,,A07775,21,19
21,אֲבִי,H,1+אב,de H1,9945,,N_N-F-P,Abi,"Abi = ""mon père"", ""l'éternel est père""<br>1) mère d'Ezéchias (cf <a href=""strong-hebreu-29.html"" title=""Strong hébreu 029"">029</a>)",ʾăvī,,A07776,22,20
22,אֲבִיאֵל,H,1+אב|410+אל,de H1 et H410,"7309,21901,7476",,N_N-M-P,Abiel,"Abiel = ""Dieu est mon père""<br>1) grand-père de Saïl",ʾăvīʾēl,,A04426,23,21
23,אֲבִיאָסָף,H,1+אב|622+אסף,de H1 et H622,1680,,N_N-M-P,Abiasaph,"Abiasaph = ""mon père a rassemblé "" (celui qui enlève l'opprobre)<br>1) fils (descendant) de Koré ou d'Elkana ?",ʾăvīʾāsāf,,A07777,24,22
24,אָבִיב,H,,d'une racine du sens d'être tendre,"1872,5345,2777,1774,2160,2515",,N_N-M-T;N-M,épis,"1) épis, orge jeune<br>2) mois de la formation de l'épi, de l'herbe verte<br>3) Abib, mois de l'exode et de la pâque (Mars ou Avril)",ʾāvīv,,A03148,25,23
25,אֲבִי גִבְעוֹן,H,1+אב|1391+גבעון,de H1 et H1391,,,N_N-M-P;N_N--L,père de Gabaon,"1) lieu où se trouvait le tabernacle du Seigneur, dans le haut lieu",ʾăvī givʿōn,,A08567,26,24
26,"אֲבִיגַ֫יִל, אֲבִיגַ֫ל",H,1+אב|1524+גיל,de H1 et H1524,"7782,7797,7802,7818,8002,7811,7901,21519,21558,7821,7815,21518,8392,7819,7851,7793,7969",,N_N-F-P,Abigaïl,"Abigaïl = ""mon père est joie"", ""père de l'enthousiasme""<br>1) femme de Nabal, ensuite de David<br>2) soeur de David","ʾăvīgayil, ʾăvīgal",,A01653,27,25
27,אֲבִידָן,H,1+אב|1777+דין דון,de H1 et H1777,"3681,3616,4013,3911,3916",,N_N-M-P,Abidan,"Abidan = ""mon père est juge"", ""le père juge""<br>1) un prince (souverain) de Benjamin, fils de Guideoni",ʾăvīdān,,A03504,28,26
28,אֲבִידָע,H,1+אב|3045+ידע,de H1 et H3045,21481663,,N_N-M-P,Abida,"Abida = ""père du savoir""<br>1) quatrième fils de Madian et petit-fils d'Abraham par sa femme Ketura (après la mort de Sara)",ʾăvīdāʿ,,A05763,29,27
29,אֲבִיָּ֫הוּ,H,1+אב|3050+יה,de H1 et H3050,"22665,21739,7288,22651,22673,22670,22650,22633,22671,21387,22653,21374,9137,21678,22989,21302,21567,22669,22667,22672,22222,22654,21526,22652,22631",,N_N-M-P,Abija,"Abija = ""L'Eternel est un père""<br>1) roi de Juda, fils et successeur de Roboam<br>2) second fils de Samuel<br>3) fils de Jéroboam premier, roi d'Israël<br>4) fils de Béker, un Benjamite<br>5) chef d'une maison de sacrificateurs (groupe de Lévites)<br>6) chef d'une maison de sacrificateurs après l'exil <br>n pr f 7) mère d'Ezéchias (cf <a href=""strong-hebreu-21.html"" title=""Strong hébreu 021"">021</a>)",ʾăviyyāhū,,A01233,30,28
30,אֲבִיהוּא,H,1+אב|1931+הוא היא,de H1 et H1931,"4552,2179,2979,2187,4551,21653,2295,1679,22213,3697,22214,3695",,N_N-M-P,Abihu,"Abihu = ""Dieu est père"", ""il est mon père""<br>1) fils d'Aaron, partagea les privilèges, le péché, la destinée de Nadab son aîné, et mourut sans postérité",ʾăvīhūʾ,,A02080,31,29
31,אֲבִיהוּד,H,1+אב|1935+הוד,de H1 et H1935,21774,,N_N-M-P,Abihud,"Abihud = ""père de l'éloge"", ""père loué ""<br>1) Descendant de Benjamin par la lignée de Béla",ʾăvīhūd,,A05862,32,30
32,אֲבִיחַ֫יִל,H,2428+חיל,de H1 et H2428,"20276,22629,3728,20400,21531,21638",,N_N-M-P,Abihaïl,"Abihaïl = ""père de la force""<br>1) un Lévite du temps de Moïse<br>2) un homme de Gad<br>3) père d'Esther<br>4) épouse d'Abischur<br>5) épouse de Roboam",ʾăvīḥayil,,A03009,33,31
33,אֲבִי הָעֶזְרִי,H,44+אביעזר,de H44 avec article inséré,"6753,6680,6667",,N_N--PG,d'Abiézer,"Abiézer = ""mon père est secours""<br>1) membre de la famille d'Abiézer, un descendant du fils de Joseph, Manassé",ʾăvī hāʿezrī,,A04537,34,32
34,אֶבְיוֹן,H,14+אבה,"de H14 , dans le sens d'être dans le besoin","18580,14416,15289,11986,20393,5332,10729,16554,18079,13223,14492,19172,19329,16503,17051,19162,17086,10639,5325,13173,15646,16265,10783,17013,15772,5330,16228,16273,13367,14440,11602,17060,17440,17094,15256,16330,11951,2151,5328,10475,10985,14490,5541,15691,19304,15888,17550,18569,11515,16274,14390,19270,18541,18688,7165,2156,17045,16237",,A-M,pauvre,"1) dans le besoin, très pauvre, indigent<br>2) sujet à l'oppression et aux abus<br>3) besoin de délivrance, spécialement par Dieu<br>4) référence générale aux classes inférieures",ʾevyōn,,A00622,35,33
35,אֲבִיּוֹנָה,H,14+אבה,de H14,20230,,N-F,câpre,1) câpre (baie qui stimule le désir),ʾăviyyōnā,,A05863,36,34
36,אֲבִיטוּב,H,1+אב|2898+טוב,de H1 et H2898,21782,,N_N-M-P,Abithub,"Abithub = ""mon père est bonté ""<br>1) fils de Schacharaïm, un Benjamite",ʾăvīṭūv,,A05864,37,35
37,אֲבִיטָ֑ל,H,1+אב|2919+טל,de H1 et H2919,"21560,8003",,N_N-F-P,Abithal,"Abithal = ""mon père est (la) rosée""<br>1) une épouse de David",ʾăvīṭāl,,A05226,38,36
38,אֲבִיָּם,H,1+אב|3220+ים,de H1 et H3220,"9168,9167,9174,9175",,N_N-M-P,Abijam,"Abijam = ""père de la mer"", ou ""yam (la mer) est mon père""<br>1) roi de Juda, fils et successeur de Roboam",ʾăviyyām,,A03952,39,37
39,אֲבִימָאֵל,H,1+אב,de H1 et d'un autre mot inusité,"263,2147",,N_N-M-P,Abimaël,"Abimaël = ""mon père est Maël"", ""mon père est Dieu""<br>1) fils de Jokthan, descendant de Sem",ʾăvīmāʾēl,,A05731,40,38
40,אֲבִימֶ֫לֶךְ,H,1+אב|4428+מלך,de H1 et H4428,"6814,6796,6778,6777,505,6785,6794,511,6774,6803,6804,6801,6779,702,6787,6780,6757,499,6759,6798,8198,536,6806,546,6784,22103,6791,510,6760,513,6795,6811,6790,6808,6797,6809,506,15614,541,6805,704,514,6812,694,6781,709,500,540,6776,6783,701,6752,6775,6800,719,504,6772,543,539,703,498,6762",,N_N-M-P,Abimélec,"Abimélec = ""Mélec est père"" ou ""mon père est roi""<br>1) roi de Guérar à l'époque d'Abraham<br>2) roi de Gath à l'époque de David<br>3) fils de Gédéon par une concubine<br>4) sacrificateur, fils d'Abiathar",ʾăvīmelex,,A00599,41,39
41,אֲבִינָדָב,H,1+אב|5068+נדב,de H1 et H5068,"21857,7270,21964,8079,7520,7929,21515,21850,8078,21804,7548",,N_N-M-P,Abinadab,"Abinadab = ""père de la générosité "", ""père de liberté ""<br>1) un homme de Guibea qui reçut l'arche<br>2) second fils d'Isaï, frère aîné de David<br>3) un fils de Saïl, tué avec lui par les Philistins",ʾăvīnādāv,,A02188,42,40
42,אֲבִינֹ֫עַם,H,1+אב|5278+נועם,de H1 et H5278,"6637,6626,6607,6613",,N_N-M-P,Abinoam,"Abinoam = ""père de douceur, ou de beauté ""<br>1) père de Barak, descendant de Nephthali",ʾăvīnōʿam,,A03953,43,41
43,"אֶבְיָסָף, אֲבִיאָסָף",H,23+אביאסף,contraction de H23,"21830,21687,21673",,N_N-M-P,Ebjasaph,"Ebjasaph = ""mon père a rassemblé ""<br>1) un fils ou descendant de Koré","ʾevyāsāf, ʾăvīʾāsāf",,A04018,44,42
44,אֲבִיעֶ֫זֶר,H,1+אב|5829+עזר,de H1 et H5829,"6690,6279,8598,21897,22318,6723,21749",,N_N-M-P,Abiézer,"Abiézer = ""père du secours, mon père est un secours""<br>1) de Manassé, appelé ""fils"" de Galaad, ou fils de la soeur de Galaad<br>2) Benjamite, guerrier de David",ʾăvīʿezer,,A02839,45,43
45,אֲבִי־עַלְבוֹן,H,1+אב,de H1 et dérivation incertaine,8602,,N_N-M-P,Abi-Albon,"Abi-Albon = ""père de force""<br>1) un des vaillants guerriers de David<br>2) Abiel dans 1 chroniques 11.32",ʾăvī-ʿalvōn,,A07778,46,44
46,אָבִיר,H,82+אבר,de H82,"17430,11354,11179,1498,10195,17427",,A-M,Le Puissant,"1) fort, puissant - utilisé seulement pour décrire Dieu<br>2) Le Fort: ancien nom pour Dieu (poétique)",ʾāvīr,,A03010,47,45
47,אַבִּיר,H,46+אביר,pour H46,"15919,19425,16189,19180,10380,7697,10827,6647,11685,12576,12693,15439,12592,16349,19878,11115,16402",,A-M,taureaux,"1) puissance, vaillance<br>  1a) des hommes, des anges, des animaux<br>  1b) (métaphorique) des ennemis, des princes<br>  1c) obstination (figuré)",ʾabbīr,,A01606,48,46
48,אֲבִירָם,H,1+אב|7311+רום,de H1 et H7311,"4196,4207,4219,4500,4222,9235,4220,16941,5216",,N_N-M-P,Abiram,"Abiram = ""mon père est exalté "" ou même sens qu'Abram variante admissible du nom Abram<br>1)) un Rubénite, fils d'Eliab pendant l'exode<br>2) fils de Hiel, de Béthel qui travailla à la reconstruction de Jéricho",ʾăvīrām,,A02496,49,47
49,אֲבִישַׁג,H,1+אב|7686+שׁגה,de H1 et H7686,"8709,8650,8705,8710,8638",,N_N-F-P,Abischag,"Abischag = ""père d'égarement""<br>1) jeune fille fort belle de Sunem, qui prit soin de David lorsqu'il fut vieux et affaibli.<br>2) Adonija voulut l'épouser",ʾăvīšag,,A03505,50,48
50,אֲבִישׁוּעַ,H,1+אב|7771+שׁוע,vient De H1 et H7771,"21700,21775,20925,21654,21655",,N_N-M-P,Abischua,"Abischua (Abishua) = ""père de secours"", ou ""mon père est opulence""<br>1) fils de Phinées, petit-fils d'Aaron",ʾăvīšūaʿ,,A03180,51,49
51,אֲבִישׁוּר,H,1+אב|7791+שׁור,vient De H1 et H7791,"21530,21531",,N_N-M-P,Abischur,"Abischur = ""mon père est un mur"", ""père d'ordre""<br>1) fils de Schammaï, descendant de Juda",ʾăvīšūr,,A04649,52,50
52,אֲבִישַׁי,H,1+אב|7862+שׁי,vient De H1 et H7862,"8355,7985,8353,8482,7832,8478,21518,22099,8172,8408,22119,22115,7991,7831,7830,8168,8515,8398,8589,7829,21889,8029,8450,8401",,N_N-M-P,Abischaï,"Abischaï = ""mon père est Isaï "", ""mon père est un don""<br>1) petit-fils d'Isaï, neveu de David par sa soeur Tseruja, frère de Joab",ʾăvīšay,,A01306,53,51
53,אֲבִישָׁלוֹם,H,1+אב|7965+שׁלום שׁלום,vient De H1 et H7965,"8352,8255,8406,8305,8478,22632,8304,8381,8430,8308,8257,8408,8367,8373,9169,8366,8344,8371,8365,8695,8264,8338,8391,8302,8317,8307,8314,8274,8368,8301,8387,8267,21559,8382,8295,8297,8438,8362,8272,8428,8372,8260,8361,8299,8392,8311,8263,8269,8275,8236,8374,8313,8318,8265,8425,8310,8385,8413,8405,8433,8319,8298,8376,8261,8364,8393,8321,9177,8410,8401,8359,8303,8320,8341,8411,8273,8716,8002,8414,8435,8306,8429,8641,8239,8258,8439,15168,8259,8262,8309,8360,22631",,N_N-M-P,Absalom,"Absalom (Abisalom) = ""père de la paix""<br>1) beau-père de Roboam<br>2) troisième fils de David, tueur du fils aîné Amnon, également chef de la révolte contre son père, David",ʾăvīšālōm,,A00427,54,52
54,אֶבְיָתָר,H,1+אב|3498+יתר,contraction De H1 et H3498,"8440,8331,22218,7734,8144,8642,22340,8497,8382,7727,8677,8710,8654,8343,8336,8723,7903,8766,7725,8714,8342,7726,7737,21999,8334,8715,8660,22103",,N_N-M-P,Abiathar,"Abiathar = ""père de l'abondance""<br>1) sacrificateur, fils d'Achimélec, descendant d'Eli.",ʾevyātār,,A01159,55,53
55,אָבַךְ,H,,racine primaire,10364,,V,s'élève,"1) rouler, tourner<br>  1a) s'élever, s'enrouler, grande vague",ʾāvax,,A05865,56,54
56,אָבַל,H,,racine primaire,"8276,21248,10805,14494,21047,7513,11571,11448,12966,12951,8430,20686,4148,10619,14235,2478,8272,14505,23187,14306,1118,14141,7267,11811,7512,10529,21005,14305,19893,12010,10250,21753,14371,11769,13607,18925,11776,10616",,V,deuil,"1) pleur, lamentation<br>  1a) d'un humain, d'une chose (la terre, les portes...)<br>  1b) le rôle du pleureur",ʾāval,,A00907,57,55
57,אָבֵל,H,56+אבל,vient de H56,"20342,11362,11300,1119,19867,11363,15650,19279",,A,pleurs,"1) deuil<br>  1a) à cause de la mort<br>  1b) à cause des calamités<br>2) pleurer, pleureur, pleureuse",ʾāvēl,,A02583,58,56
58,אָבֵל,H,,vient d'une racine du sens de verdoyant,,,N-F,Abel,"1) prairie (du verbe pousser, vert)<br>2) plaine",ʾāvēl,,A08568,59,57
59,אָבֵל,H,58+אבל,vient de H58,"8487,8486,7266,8490",,N_N--L,Abel,"Abel = ""endroit verdoyant, prairie"", ""vanité ""<br>1) Ville du nord d'Israël, près de Beth-Maaca<br>2) erreur dans 1 Samuel 6.18 (Eben et non Abel)",ʾāvēl,,A03954,60,58
60,אֵ֫בֶל,H,56+אבל,vient de H56,"8276,20393,11358,14592,1517,19310,20302,13435,11363,11631,12220,20010,11859,20135,8431,5849,20133,14444,14496,769,1518,8204",,N-M,deuil,1) deuil<br>  1a) pour la mort<br>  1b) à cause de certains rites (métaphorique)<br>  1c) vêtement de deuil<br>  1d) période de deuil,ʾēvel,,A01366,61,59
61,אֲבָל,H,56+אבל,vient apparemment De H56 à travers idée de négation,"417,22776,9536,23122,22395,1274,8279,20691,20705,21012,8678",,ADV,mais,"1) vraiment, véritablement, sûrement<br>2) mais, cependant",ʾăvāl,,A02189,62,60
62,אָבֵל בֵּית־מֲעַכָה,H,58+אבל|1004+בית|4601+מעכה ,vient De H58 et H1004 et H4601,"9873,9187",,N_N--L,Abel-Beth-Maaca,"Abel-Beth-Maaca = ""prairie de la maison de Maaca"" = ""pré de la maison d'oppression""<br>1) ville du nord d'Israël proche de Beth Maaca",ʾāvēl bēt-măʿaxā,,A05478,63,61
63,אָבֵל הַשִּׁטִּים,H,58+אבל|7848+שׁטה שׁטים,"vient De H58 et pluriel de H7848, avec article",4811,,N_N--L,Abel-Sittim,"Abel-Sittim = ""prairie des acacias""<br>1) lieu de la plaine de Moab",ʾāvēl haššiṭṭīm,,A07779,64,62
64,אָבֵל כְּרָמִים,H,58+אבל|3754+כרם,vient De H58 et pluriel de H3754,,,N_N--L,Abel-Keramim,"Abel-Keramim = ""prairie dans les vignes""<br>1) un lieu en Ammon",ʾāvēl kᵊrāmīm,,A08569,65,63
65,אָבֵל מְחוֹלָה,H,58+אבל|4246+מְחולה,vient De H58 et H4246,"6718,8774,9321",,N_N--L,Abel-Mehola,"Abel-Mehola = ""prairie de la danse""<br>1) ville d'Issacar, lieu de naissance d'Elisée",ʾāvēl mᵊḥōlā,,A04538,66,64
66,אַבֵל מַיִם,H,58+אבל|4325+מים,vient De H58 et H4325,22710,,N_N--L,Abel-Maïm,"Abel-Maïm = ""prairie des eaux""<br>1) ville du nord d'Israël (peut-être Abel-Beth-Maaca)",ʾavēl mayim,,A05866,67,65
67,אָבֵל מִצְרַיִם,H,58+אבל|4714+מצרים,vient De H58 et H4714,1518,,N_N--L,Abel-Mitsraïm,"Abel-Mitsraïm = ""prairie de l'Egypte"" = ""pré du deuil de l'Egypte""<br>1) lieu à l'est du Jourdain (peut-être ""aussi fertile que l'Egypte"")",ʾāvēl miṣrayim,,A07780,68,66
