strongNumber,hebWord,lang,etymComplete,etymDesc,variants,morphology,heading,entrycontent,phonemes,multiarticle
30,אֲבִיהוּא,H,1+אב|1931+הוא היא,de H1 et H1931,,N_N-M-P,Abihu,"Abihu = ""Dieu est père"", ""il est mon père""<br>1) fils d'Aaron, partagea les privilèges, le péché, la destinée de Nadab son aîné, et mourut sans postérité",ʾăvīhūʾ,
31,אֲבִיהוּד,H,1+אב|1935+הוד,de H1 et H1935,,N_N-M-P,Abihud,"Abihud = ""père de l'éloge"", ""père loué ""<br>1) Descendant de Benjamin par la lignée de Béla",ʾăvīhūd,
32,אֲבִיחַ֫יִל,H,2428+חיל,de H1 et H2428,,N_N-M-P,Abihaïl,"Abihaïl = ""père de la force""<br>1) un Lévite du temps de Moïse<br>2) un homme de Gad<br>3) père d'Esther<br>4) épouse d'Abischur<br>5) épouse de Roboam",ʾăvīḥayil,
33,אֲבִי הָעֶזְרִי,H,44+אביעזר,de H44 avec article inséré,,N_N--PG,d'Abiézer,"Abiézer = ""mon père est secours""<br>1) membre de la famille d'Abiézer, un descendant du fils de Joseph, Manassé",ʾăvī hāʿezrī,
34,אֶבְיוֹן,H,14+אבה,"de H14 , dans le sens d'être dans le besoin",,A-M,pauvre,"1) dans le besoin, très pauvre, indigent<br>2) sujet à l'oppression et aux abus<br>3) besoin de délivrance, spécialement par Dieu<br>4) référence générale aux classes inférieures",ʾevyōn,
35,אֲבִיּוֹנָה,H,14+אבה,de H14,,N-F,câpre,1) câpre (baie qui stimule le désir),ʾăviyyōnā,
36,אֲבִיטוּב,H,1+אב|2898+טוב,de H1 et H2898,,N_N-M-P,Abithub,"Abithub = ""mon père est bonté ""<br>1) fils de Schacharaïm, un Benjamite",ʾăvīṭūv,
37,אֲבִיטָ֑ל,H,1+אב|2919+טל,de H1 et H2919,,N_N-F-P,Abithal,"Abithal = ""mon père est (la) rosée""<br>1) une épouse de David",ʾăvīṭāl,
38,אֲבִיָּם,H,1+אב|3220+ים,de H1 et H3220,,N_N-M-P,Abijam,"Abijam = ""père de la mer"", ou ""yam (la mer) est mon père""<br>1) roi de Juda, fils et successeur de Roboam",ʾăviyyām,
39,אֲבִימָאֵל,H,1+אב,de H1 et d'un autre mot inusité,,N_N-M-P,Abimaël,"Abimaël = ""mon père est Maël"", ""mon père est Dieu""<br>1) fils de Jokthan, descendant de Sem",ʾăvīmāʾēl,
40,אֲבִימֶ֫לֶךְ,H,1+אב|4428+מלך,de H1 et H4428,,N_N-M-P,Abimélec,"Abimélec = ""Mélec est père"" ou ""mon père est roi""<br>1) roi de Guérar à l'époque d'Abraham<br>2) roi de Gath à l'époque de David<br>3) fils de Gédéon par une concubine<br>4) sacrificateur, fils d'Abiathar",ʾăvīmelex,
41,אֲבִינָדָב,H,1+אב|5068+נדב,de H1 et H5068,,N_N-M-P,Abinadab,"Abinadab = ""père de la générosité "", ""père de liberté ""<br>1) un homme de Guibea qui reçut l'arche<br>2) second fils d'Isaï, frère aîné de David<br>3) un fils de Saïl, tué avec lui par les Philistins",ʾăvīnādāv,
42,אֲבִינֹ֫עַם,H,1+אב|5278+נועם,de H1 et H5278,,N_N-M-P,Abinoam,"Abinoam = ""père de douceur, ou de beauté ""<br>1) père de Barak, descendant de Nephthali",ʾăvīnōʿam,
43,"אֶבְיָסָף, אֲבִיאָסָף",H,23+אביאסף,contraction de H23,,N_N-M-P,Ebjasaph,"Ebjasaph = ""mon père a rassemblé ""<br>1) un fils ou descendant de Koré","ʾevyāsāf, ʾăvīʾāsāf",
44,אֲבִיעֶ֫זֶר,H,1+אב|5829+עזר,de H1 et H5829,,N_N-M-P,Abiézer,"Abiézer = ""père du secours, mon père est un secours""<br>1) de Manassé, appelé ""fils"" de Galaad, ou fils de la soeur de Galaad<br>2) Benjamite, guerrier de David",ʾăvīʿezer,
45,אֲבִי־עַלְבוֹן,H,1+אב,de H1 et dérivation incertaine,,N_N-M-P,Abi-Albon,"Abi-Albon = ""père de force""<br>1) un des vaillants guerriers de David<br>2) Abiel dans 1 chroniques 11.32",ʾăvī-ʿalvōn,
46,אָבִיר,H,82+אבר,de H82,,A-M,Le Puissant,"1) fort, puissant - utilisé seulement pour décrire Dieu<br>2) Le Fort: ancien nom pour Dieu (poétique)",ʾāvīr,
47,אַבִּיר,H,46+אביר,pour H46,,A-M,taureaux,"1) puissance, vaillance<br>  1a) des hommes, des anges, des animaux<br>  1b) (métaphorique) des ennemis, des princes<br>  1c) obstination (figuré)",ʾabbīr,
48,אֲבִירָם,H,1+אב|7311+רום,de H1 et H7311,,N_N-M-P,Abiram,"Abiram = ""mon père est exalté "" ou même sens qu'Abram variante admissible du nom Abram<br>1)) un Rubénite, fils d'Eliab pendant l'exode<br>2) fils de Hiel, de Béthel qui travailla à la reconstruction de Jéricho",ʾăvīrām,
49,אֲבִישַׁג,H,1+אב|7686+שׁגה,de H1 et H7686,,N_N-F-P,Abischag,"Abischag = ""père d'égarement""<br>1) jeune fille fort belle de Sunem, qui prit soin de David lorsqu'il fut vieux et affaibli.<br>2) Adonija voulut l'épouser",ʾăvīšag,
50,אֲבִישׁוּעַ,H,1+אב|7771+שׁוע,vient De H1 et H7771,,N_N-M-P,Abischua,"Abischua (Abishua) = ""père de secours"", ou ""mon père est opulence""<br>1) fils de Phinées, petit-fils d'Aaron",ʾăvīšūaʿ,
51,אֲבִישׁוּר,H,1+אב|7791+שׁור,vient De H1 et H7791,,N_N-M-P,Abischur,"Abischur = ""mon père est un mur"", ""père d'ordre""<br>1) fils de Schammaï, descendant de Juda",ʾăvīšūr,
52,אֲבִישַׁי,H,1+אב|7862+שׁי,vient De H1 et H7862,,N_N-M-P,Abischaï,"Abischaï = ""mon père est Isaï "", ""mon père est un don""<br>1) petit-fils d'Isaï, neveu de David par sa soeur Tseruja, frère de Joab",ʾăvīšay,
53,אֲבִישָׁלוֹם,H,1+אב|7965+שׁלום שׁלום,vient De H1 et H7965,,N_N-M-P,Absalom,"Absalom (Abisalom) = ""père de la paix""<br>1) beau-père de Roboam<br>2) troisième fils de David, tueur du fils aîné Amnon, également chef de la révolte contre son père, David",ʾăvīšālōm,
54,אֶבְיָתָר,H,1+אב|3498+יתר,contraction De H1 et H3498,,N_N-M-P,Abiathar,"Abiathar = ""père de l'abondance""<br>1) sacrificateur, fils d'Achimélec, descendant d'Eli.",ʾevyātār,
55,אָבַךְ,H,,racine primaire,,V,s'élève,"1) rouler, tourner<br>  1a) s'élever, s'enrouler, grande vague",ʾāvax,
56,אָבַל,H,,racine primaire,,V,deuil,"1) pleur, lamentation<br>  1a) d'un humain, d'une chose (la terre, les portes...)<br>  1b) le rôle du pleureur",ʾāval,
57,אָבֵל,H,56+אבל,vient de H56,,A,pleurs,"1) deuil<br>  1a) à cause de la mort<br>  1b) à cause des calamités<br>2) pleurer, pleureur, pleureuse",ʾāvēl,
58,אָבֵל,H,,vient d'une racine du sens de verdoyant,,N-F,Abel,"1) prairie (du verbe pousser, vert)<br>2) plaine",ʾāvēl,
59,אָבֵל,H,58+אבל,vient de H58,,N_N--L,Abel,"Abel = ""endroit verdoyant, prairie"", ""vanité ""<br>1) Ville du nord d'Israël, près de Beth-Maaca<br>2) erreur dans 1 Samuel 6.18 (Eben et non Abel)",ʾāvēl,
60,אֵ֫בֶל,H,56+אבל,vient de H56,,N-M,deuil,1) deuil<br>  1a) pour la mort<br>  1b) à cause de certains rites (métaphorique)<br>  1c) vêtement de deuil<br>  1d) période de deuil,ʾēvel,
61,אֲבָל,H,56+אבל,vient apparemment De H56 à travers idée de négation,,ADV,mais,"1) vraiment, véritablement, sûrement<br>2) mais, cependant",ʾăvāl,
62,אָבֵל בֵּית־מֲעַכָה,H,58+אבל|1004+בית|4601+מעכה ,vient De H58 et H1004 et H4601,,N_N--L,Abel-Beth-Maaca,"Abel-Beth-Maaca = ""prairie de la maison de Maaca"" = ""pré de la maison d'oppression""<br>1) ville du nord d'Israël proche de Beth Maaca",ʾāvēl bēt-măʿaxā,
63,אָבֵל הַשִּׁטִּים,H,58+אבל|7848+שׁטה שׁטים,"vient De H58 et pluriel de H7848, avec article",,N_N--L,Abel-Sittim,"Abel-Sittim = ""prairie des acacias""<br>1) lieu de la plaine de Moab",ʾāvēl haššiṭṭīm,
64,אָבֵל כְּרָמִים,H,58+אבל|3754+כרם,vient De H58 et pluriel de H3754,,N_N--L,Abel-Keramim,"Abel-Keramim = ""prairie dans les vignes""<br>1) un lieu en Ammon",ʾāvēl kᵊrāmīm,
65,אָבֵל מְחוֹלָה,H,58+אבל|4246+מְחולה,vient De H58 et H4246,,N_N--L,Abel-Mehola,"Abel-Mehola = ""prairie de la danse""<br>1) ville d'Issacar, lieu de naissance d'Elisée",ʾāvēl mᵊḥōlā,
66,אַבֵל מַיִם,H,58+אבל|4325+מים,vient De H58 et H4325,,N_N--L,Abel-Maïm,"Abel-Maïm = ""prairie des eaux""<br>1) ville du nord d'Israël (peut-être Abel-Beth-Maaca)",ʾavēl mayim,
67,אָבֵל מִצְרַיִם,H,58+אבל|4714+מצרים,vient De H58 et H4714,,N_N--L,Abel-Mitsraïm,"Abel-Mitsraïm = ""prairie de l'Egypte"" = ""pré du deuil de l'Egypte""<br>1) lieu à l'est du Jourdain (peut-être ""aussi fertile que l'Egypte"")",ʾāvēl miṣrayim,
68,אֶ֫בֶן,H,1129+בנה,vient de la racine H1129 dans le sens de construire,,N-F,pierre,"1) pierre (grande ou petite)<br>  1a) à l'état naturel<br>  1b) comme matériau<br>  1c) pierres précieuses<br>  1d) outil de travail ou arme<br>  1e) poids<br>  1f) projectiles de destruction<br>  1g) objets sacrés, mémorials ...<br>  1i) (par assimilation) force, fermeté, solidité<br>  1j) (métaphorique) pétrifié de terreur, pervers, coeur dur",ʾeven,
69,אֶ֫בֶן,A,68+אבן,(araméen) correspondant à H68,,N-F,pierre,"1) pierre<br>  1a) une (la) pierre, matériau pour idoles et construction",ʾeven,
70,אֹבֶן,H,68+אבן,vient du même mot que H68,,N-M,siège,"1) roue, disque<br>  1a) roue de potier<br>  1b) escabeau d'accouchement",ʾōven,
71,אֲבָנָה,H,68+אבן,peut-être le féminin de H68,,N_N--L,Abana,"1) fleuve Abana, en Syrie, coulant à travers Damas",ʾăvānā,
72,אֶבֶן הָעֵזֶר,H,68+אבן|5828+עזר,vient De H68 et H5828 avec article,,N_N--L,ében-ézer,"ében-ézer = ""pierre du secours""<br>1) pierre commémorative dressée par Samuel, pour marquer le lieu où Dieu aida Israël à mettre en déroute les Philistins, au nord de Jérusalem",ʾeven hāʿēzer,
73,אַבְנֵט,H,,dérivation incertaine,,N-M,ceinture,"1) gaine, ceinture<br>  1a) du souverain sacrificateur, des sacrificateurs, d'un officiel",ʾavnēṭ,
74,אֲבִינֵר,H,1+אב|5216+ניר נר ניר נר נרה,vient De H1 et H5216,,N_N-M-P,Abner,"Abner (Abiner) = ""père de la lumière""<br>1) cousin de Saïl et chef de son armée, traîtreusement tué par Joab",ʾăvīnēr,
75,אָבַס,H,,racine primaire,,V,engraissé,"1) nourrir, engraisser<br>  1a) engraissé (participe)",ʾāvas,
76,אֲבַעְבֻּעֹת,H,,(duplication) vient d'une racine du sens d'éruption,,N-F,pustules,"1) ampoules, furoncles (de la racine: gonfler)",ʾăvaʿbuʿōt,
77,אֶ֫בֶץ,H,,"vient d'un mot non usuel, probablement 'luire'",,N_N--L,Abets,"Abets (Angl.: Ebets) = « blancheur, étain »<br>1) ville d'Issacar",ʾeveṣ,
78,אִבְצָן,H,76+אבעבועה,vient du même mot que H77,,N_N-M-P,Ibtsan,"Ibtsan = ""blancheur (blanc comme l'étain)"", ""grande fatigue""<br>1) un juge de Bethléhem au temps des juges",ʾivṣān,
79,אָבַק,H,80+אבק,"racine primaire du sens flotter (comme la vapeur), vient de H80",,V,lutta,"1) lutter, en venir aux prises",ʾāvaq,
80,אָבָק,H,79+אבק,vient du mot H79,,N-M,poussière,1) poussière<br>  1a) sur le sol<br>  1b) nuées (figuré),ʾāvāq,
81,אֲבָקָה,H,80+אבק,féminin de H80,,N-F,aromates,"1) aromates, poudres aromatiques, poudre",ʾăvāqā,
82,אָבַר,H,,racine primaire,,V,vol,"1) voler, en battant des ailes",ʾāvar,
83,אֵ֫בֶר,H,82+אבר,vient de H82,,N-M,ailes,"1) aile<br>  1a) d'un oiseau (colombe, aigle)<br>  1b) d'un roi Babylonien (figuré)",ʾēver,
84,אֶבְרָה,H,83+אבר,féminin de H83,,N-F,plumes,"1) aile<br>  1a) d'un oiseau (autruche, aigle, colombe)<br>  1b) de Dieu (métaphorique)",ʾevrā,
85,אַבְרָהָם,H,1+אב,contraction De H1 et d'une racine voulant peut-être dire nombreux,,N_N-M-P,Abraham,"Abraham = ""père élevé "" ou ""père d'une multitude""<br>1) ami de Dieu et fondateur de la nation Hébreu par son alliance avec Dieu",ʾavrāhām,
86,אַבְרֵךְ,H,,probablement mot égyptien du sens de s'agenouiller,,V,A genoux !,1) (sens douteux) - un cri pour annoncer le char de Joseph,ʾavrēxᵊ,
87,אַבְרָם,H,48+אבירם,contraction de H48,,N_N-M-P,Abram,"Abram = ""père élevé ""<br>1) nom originel d'Abraham",ʾavrām,
88,אֹבֹת,H,178+אוב,pluriel de H178,,N_N--L,Oboth,"Oboth = ""des outres"", ""creux"", ""esprit""<br>1) site indéterminé d'un camp des Israélites dans le désert (peut-être à l'est de la frontière de Moab)",ʾōvōt,
89,אָגֵא,H,,"dérivation incertaine, comparer avec H90",,N_N-M-P,Agué,"Agué = ""fugitif"", ""dompteur de chevaux""<br>1) père d'un guerrier de David",ʾāgēʾ,
90,אֲגָג,H,,"dérivation incertaine, comparer avec H89",,N_N-M-P,Agag,"Agag = ""flamboyant"", ""guerrier"", ""sublime""<br>1) roi d'Amalek, épargné par Saïl mais tué par Samuel",ʾăgāg,
91,אֲגָגִי,H,90+אגג,patronyme de H90,,N_N--PG,Agaguite,1) vient d'Agag<br>2) Haman est appelé : Haman l'Agaguite,ʾăgāgī,
92,אֲגֻדָּה,H,,vient d'une racine du sens de lier,,N-F,bouquet,"1) bande, reliure, cordes, bandes de soldats<br>  1a) bouquet d'hysope<br>  1b) voûte des cieux, reliant la terre aux cieux",ʾăguddā,
93,אֱגוֹז,H,,probablement origine Perse,,N-M,noyers,"1) noix, noyers",ʾĕgōz,
94,אָגוּר,H,103+אגר,participe de H103,,N_N-M-P,Agur,"Agur = ""qui rassemble, collectionneur""<br>1) fils de Jaké, l'auteur ou celui qui a collecté Proverbes 30",ʾāgūr,
95,אֲגוֹרָה,H,94+אגור,vient du même mot que H94,,N-F,pièce,"1) payement, pièce, pièce de monnaie",ʾăgōrā,
96,אֵ֫גֶל,H,,vient d'une racine du sens de couler comme des gouttes,,N-M,gouttes,"1) gouttes, réservoir, collecteur d'eau, magasins",ʾēgel,
97,אֶגְלַ֫יִם,H,96+אגל,double de H96,,N_N--L,Eglaïm,"Eglaïm = ""double réservoir""<br>1) une ville de Moab",ʾeglayim,
98,אֲגַם,H,,vient d'une racine du sens de collecter comme de l'eau,,N-M,étang,"1) mare, bassin troublé<br>  1a) marais troublé ou boueux (sombre)<br>  1b) toute mare, étang<br>  1c) marais à roseaux ou jonc",ʾăgam,
99,אָגֵם,H,98+אגם,vient probablement De H98 (eau stagnante),,A,attristé,1) triste comme de l'eau stagnante,ʾāgēm,
100,אַגְמֹן,H,98+אגם,vient du même mot que H98,,N-M,jonc,"1) jonc, roseau<br>  1a) corde ou ligne<br>  1b) humble, insignifiant (métaphorique)<br>2) triste, pencher la tête",ʾagmōn,
101,אַגָּן,H,5059+נגן,vient probablement de H5059,,N-M,bassins,"1) bol, coupe, bassin<br>  1a) bassins utilisés pour le rituel<br>  1b) courbes du corps humain (métaphorique)<br>  1c) famille d'Eliakim (métaphorique)",ʾaggān,
102,אֲגַף,H,5062+נגף,vient probablement De H5062 (idée de menaçant),,N-M,troupes,"1) aile (d'une armée), bande, armée, horde",ʾăgaf,
103,אָגַר,H,,racine primaire,,V,amasse,"1) recueillir, rassembler, récolter",ʾāgar,
104,אִגְּרָא,A,,(araméen) origine Perse,,N-F,lettre,"1) lettre, missive (mot emprunté à l'araméen, utilisé dans l'AT)",ʾiggᵊrāʾ,
105,אֲגַרְטָל,H,,dérivation incertaine,,N-M,bassins,"1) vaisselle, corbeille, sac de cuir, cuvette",ʾăgarṭāl,
106,אֶגְרֹף,H,1640+גרף,vient De H1640 (sens de saisir),,N-M,poing,1) poing,ʾegrōf,
107,אִגֶּ֫רֶת,H,104+אגרא,vient de H104,,N-F,lettre,"1) lettre, missive",ʾiggeret,
108,אֵד,H,181+אוד,vient du même mot que H181,,N-M,vapeur,"1) brume, vapeur",ʾēd,
109,אָדַב,H,,racine primaire,,V,attrister,"1) attrister, affliger, chagriner<br>  1a) être la cause d'un chagrin, d'une affliction",ʾādav,
110,אַדְבְּאֵל,H,109+אדב|410+אל,vient probablement De H109 (sens de châtiment) et H410,,N_N-M-P,Abdeel,"Adbeel = ""châtié de Dieu"", ""serviteur de Dieu""<br>1) troisième fils d'Ismaël et petit-fils d'Abraham",ʾadbᵊʾēl,
111,אֲדַד,H,2301+חדד,probablement variante orthographique de H2301,,N_N-M-P,Hadad,"Hadad = ""puissant"", ""le plus haut""<br>1) ennemi Edomite que Dieu a élevé pour punir Salomon de ses péchés",ʾădad,
112,אִדּוֹ,H,,dérivation incertaine,,N_N-M-P,Iddo,"Iddo = ""opportun"", ""favori""<br>1) chef Israélite au temps d'Esdras au retour de Babylone",ʾiddō,
113,אָדוֹן,H,,vient d'une racine du sens de gouverner,,N-M,seigneur,"1) Le Seigneur Dieu, Seigneur de toute la terre<br>2) seigneur, maître, roi, mari, prophète, gouverneur, intendant...<br>3) Seigneur des seigneurs (l'éternel)<br>4) mon Seigneur et mon Dieu",ʾādōn,
114,אַדּוֹן,H,113+אדון אדון,probablement forme intensive de H113,,N_N--L,Addon,"Addon = ""puissant"", ""fort"", ""calamité ""<br>1) un Israélite ?",ʾaddōn,
115,אֲדוֹרַ֫יִם,H,142+אדר,double De H142 (dans le sens d'éminence),,N_N--L,Adoraïm,"Adoraïm = ""double gloire"", ""double demeure"", ""honneur""<br>1) ville de Juda fortifiée par Roboam, environ 8 km Sud Ouest Hébron",ʾădōrayim,
116,אֱדַ֫יִן,A,,(araméen) dérivation incertaine,,ADV,alors,"1) alors, ensuite, depuis ce temps",ʾĕdayin,
117,אַדִּיר,H,142+אדר,vient de H142,,A,puissant,"1) grandeur, majesté<br>  1a) des eaux de la mer<br>  1b) d'un arbre<br>  1c) des rois, des nations, des dieux",ʾaddīr,
118,אֲדַלְיָא,H,,dérivation du Perse,,N_N-M-P,Adalia,"Adalia = ""ferme, déterminé ""<br>1) cinquième fils de Haman, exécuté en même temps que son père",ʾădalyāʾ,
119,אָדֹם,H,,dérivation inconnue,,V,rouge,"1) être de couleur rouge<br>2) couleur voyante et vive, comme les péchés",ʾādōm,
120,אָדָם,H,119+אדם,vient de H119,,N-M,Adam,"Adam ="" être humain"", ""de la terre"" Adamah: terre, sol<br>1)) homme<br>  1a) homme, être humain<br>  1b) genre humain (sens le plus fréquent de l'Ancien Testament)<br>  1c) Adam, premier homme<br>  1d) ville de la vallée du Jourdain, à côté de Tsarthan",ʾādām,
121,אָדָם,H,120+אדם,même mot que H120,,N_N-M-P;N_N--L,Adam,"Adam = "" être humain"", ""de la terre""<br>1) premier homme<br>2) ville de la vallée du Jourdain",ʾādām,
122,אָדֹם,H,119+אדם,vient de H119,"אֱדֹם, אָדֹם",A|N-M,roux,"1) rouge, roux (homme, cheval, génisse, vêtement, eau, lentilles)",ʾādōm,m
123,אֱדוֹם,H,122+אדום,vient de H122,,N_N-M-P;N_N--L,édom,"édom = ""rouge"", ""de couleur rousse""<br>1) édom<br>2) édomites - descendants d'Esaï<br>3) Idumée - (Marc 3.8) territoire sud et sud-est de Palestine",ʾĕdōm,
124,אֹ֫דֶם,H,119+אדם,vient de H119,,N-F,sardoine,1) rubis<br>  1a) pierre précieuse,ʾōdem,
125,אֲדַמְדָּם,H,119+אדם,"duplication, vient de H119",,A,rougeâtre,1) rougeâtre,ʾădamdām,
126,אַדְמָה,H,127+אדמה,contraction de H127,,N_N--L,Adma,"Adma = ""de la terre"", ""terrasses""<br>1) ville dans la vallée de Siddim",ʾadmā,
127,אֲדָמָה,H,119+אדם,vient de H119,,N-F,terre,"1) terrain, terre, sol<br>  1a) terre (en général)<br>  1b) terrain, morceau spécifique<br>  1c) terre comme matériau de construction<br>  1d) partie visible du monde",ʾădāmā,
128,אֲדָמָה,H,127+אדמה,même mot que H127,,N_N--L,Adama,"Adama = ""la terre, le sol""<br>1) ville forte de Nephtali",ʾădāmā,
129,אֲדָמִי הַנֶּ֫קֶב,H,127+אדמה,vient de H127,,N_N--L,Adami,"Adami = ""territoire""<br>1) une passe ou un lieu fortifié en Nephthali",ʾădāmī hanneqev,
130,אֲדֹמִי,H,123+אדום אדום,patronyme de H123,,N_N--PG,Edomite,1) Edomite,ʾădōmī,
131,אֲדֻמִּים,H,121+אדם,pluriel de H121,,N_N--L,Adummim,"Adummim = ""terrains rouges""<br>1) passe ou crête de collines à l'ouest de Guilgal",ʾădummīm,
132,אַדְמוֹנִי,H,119+אדם,vient de H119,,A,blond,"1) rouge, roux (d'Esaï enfant)<br>2) Segond traduit par blond (pour David)",ʾadmōnī,
133,אַדְמָתָא,H,,probablement dérivation du Perse,,N_N-M-P,Admatha,"Admatha = ""un témoignage"", ""brun"", ""don de Dieu""<br>1) prince de Perse sous le règne d'Assuérus (Xerxès)",ʾadmātāʾ,
134,אֶ֫דֶן,H,113+אדון אדון,vient du même mot que H113 (sens de force),,N-M,bases,"1) base, piédestal, socle (fort, ferme)<br>  1a) piédestals, bases, ou socles sur lesquels tenait le tabernacle",ʾeden,
135,אַדָּן,H,134+אדן,vient du même mot que H134,,N_N--L,Addan,"Addan = ""fort, ferme"", ""calamité ""<br>1) lieu de Babylone, d'où sont retournés les exilés",ʾaddān,
