strongNumber,etymDesc,heading,entrycontent
42,de H1 et H5278,Abinoam,"Abinoam = ""père de douceur, ou de beauté ""<br>1) père de Barak, descendant de Nephthali"
43,contraction de H23,Ebjasaph,"Ebjasaph = ""mon père a rassemblé ""<br>1) un fils ou descendant de Koré"
44,de H1 et H5829,Abiézer,"Abiézer = ""père du secours, mon père est un secours""<br>1) de Manassé, appelé ""fils"" de Galaad, ou fils de la soeur de Galaad<br>2) Benjamite, guerrier de David"
45,de H1 et dérivation incertaine,Abi-Albon,"Abi-Albon = ""père de force""<br>1) un des vaillants guerriers de David<br>2) Abiel dans 1 chroniques 11.32"
46,de H82,Le Puissant,"1) fort, puissant - utilisé seulement pour décrire Dieu<br>2) Le Fort: ancien nom pour Dieu (poétique)"
47,pour H46,taureaux,"1) puissance, vaillance<br>  1a) des hommes, des anges, des animaux<br>  1b) (métaphorique) des ennemis, des princes<br>  1c) obstination (figuré)"
48,de H1 et H7311,Abiram,"Abiram = ""mon père est exalté "" ou même sens qu'Abram variante admissible du nom Abram<br>1)) un Rubénite, fils d'Eliab pendant l'exode<br>2) fils de Hiel, de Béthel qui travailla à la reconstruction de Jéricho"
49,de H1 et H7686,Abischag,"Abischag = ""père d'égarement""<br>1) jeune fille fort belle de Sunem, qui prit soin de David lorsqu'il fut vieux et affaibli.<br>2) Adonija voulut l'épouser"
50,vient De H1 et H7771,Abischua,"Abischua (Abishua) = ""père de secours"", ou ""mon père est opulence""<br>1) fils de Phinées, petit-fils d'Aaron"
51,vient De H1 et H7791,Abischur,"Abischur = ""mon père est un mur"", ""père d'ordre""<br>1) fils de Schammaï, descendant de Juda"
52,vient De H1 et H7862,Abischaï,"Abischaï = ""mon père est Isaï "", ""mon père est un don""<br>1) petit-fils d'Isaï, neveu de David par sa soeur Tseruja, frère de Joab"
53,vient De H1 et H7965,Absalom,"Absalom (Abisalom) = ""père de la paix""<br>1) beau-père de Roboam<br>2) troisième fils de David, tueur du fils aîné Amnon, également chef de la révolte contre son père, David"
54,contraction De H1 et H3498,Abiathar,"Abiathar = ""père de l'abondance""<br>1) sacrificateur, fils d'Achimélec, descendant d'Eli."
55,racine primaire,s'élève,"1) rouler, tourner<br>  1a) s'élever, s'enrouler, grande vague"
56,racine primaire,deuil,"1) pleur, lamentation<br>  1a) d'un humain, d'une chose (la terre, les portes...)<br>  1b) le rôle du pleureur"
57,vient de H56,pleurs,"1) deuil<br>  1a) à cause de la mort<br>  1b) à cause des calamités<br>2) pleurer, pleureur, pleureuse"
58,vient d'une racine du sens de verdoyant,Abel,"1) prairie (du verbe pousser, vert)<br>2) plaine"
59,vient de H58,Abel,"Abel = ""endroit verdoyant, prairie"", ""vanité ""<br>1) Ville du nord d'Israël, près de Beth-Maaca<br>2) erreur dans 1 Samuel 6.18 (Eben et non Abel)"
60,vient de H56,deuil,1) deuil<br>  1a) pour la mort<br>  1b) à cause de certains rites (métaphorique)<br>  1c) vêtement de deuil<br>  1d) période de deuil
61,vient apparemment De H56 à travers idée de négation,mais,"1) vraiment, véritablement, sûrement<br>2) mais, cependant"
62,vient De H58 et H1004 et H4601,Abel-Beth-Maaca,"Abel-Beth-Maaca = ""prairie de la maison de Maaca"" = ""pré de la maison d'oppression""<br>1) ville du nord d'Israël proche de Beth Maaca"
63,"vient De H58 et pluriel de H7848, avec article",Abel-Sittim,"Abel-Sittim = ""prairie des acacias""<br>1) lieu de la plaine de Moab"
64,vient De H58 et pluriel de H3754,Abel-Keramim,"Abel-Keramim = ""prairie dans les vignes""<br>1) un lieu en Ammon"
65,vient De H58 et H4246,Abel-Mehola,"Abel-Mehola = ""prairie de la danse""<br>1) ville d'Issacar, lieu de naissance d'Elisée"
66,vient De H58 et H4325,Abel-Maïm,"Abel-Maïm = ""prairie des eaux""<br>1) ville du nord d'Israël (peut-être Abel-Beth-Maaca)"
67,vient De H58 et H4714,Abel-Mitsraïm,"Abel-Mitsraïm = ""prairie de l'Egypte"" = ""pré du deuil de l'Egypte""<br>1) lieu à l'est du Jourdain (peut-être ""aussi fertile que l'Egypte"")"
68,vient de la racine H1129 dans le sens de construire,pierre,"1) pierre (grande ou petite)<br>  1a) à l'état naturel<br>  1b) comme matériau<br>  1c) pierres précieuses<br>  1d) outil de travail ou arme<br>  1e) poids<br>  1f) projectiles de destruction<br>  1g) objets sacrés, mémorials ...<br>  1i) (par assimilation) force, fermeté, solidité<br>  1j) (métaphorique) pétrifié de terreur, pervers, coeur dur"
69,(araméen) correspondant à H68,pierre,"1) pierre<br>  1a) une (la) pierre, matériau pour idoles et construction"
70,vient du même mot que H68,siège,"1) roue, disque<br>  1a) roue de potier<br>  1b) escabeau d'accouchement"
71,peut-être le féminin de H68,Abana,"1) fleuve Abana, en Syrie, coulant à travers Damas"
72,vient De H68 et H5828 avec article,ében-ézer,"ében-ézer = ""pierre du secours""<br>1) pierre commémorative dressée par Samuel, pour marquer le lieu où Dieu aida Israël à mettre en déroute les Philistins, au nord de Jérusalem"
73,dérivation incertaine,ceinture,"1) gaine, ceinture<br>  1a) du souverain sacrificateur, des sacrificateurs, d'un officiel"
74,vient De H1 et H5216,Abner,"Abner (Abiner) = ""père de la lumière""<br>1) cousin de Saïl et chef de son armée, traîtreusement tué par Joab"
75,racine primaire,engraissé,"1) nourrir, engraisser<br>  1a) engraissé (participe)"
76,(duplication) vient d'une racine du sens d'éruption,pustules,"1) ampoules, furoncles (de la racine: gonfler)"
77,"vient d'un mot non usuel, probablement 'luire'",Abets,"Abets (Angl.: Ebets) = « blancheur, étain »<br>1) ville d'Issacar"
78,vient du même mot que H77,Ibtsan,"Ibtsan = ""blancheur (blanc comme l'étain)"", ""grande fatigue""<br>1) un juge de Bethléhem au temps des juges"
79,"racine primaire du sens flotter (comme la vapeur), vient de H80",lutta,"1) lutter, en venir aux prises"
80,vient du mot H79,poussière,1) poussière<br>  1a) sur le sol<br>  1b) nuées (figuré)
81,féminin de H80,aromates,"1) aromates, poudres aromatiques, poudre"
82,racine primaire,vol,"1) voler, en battant des ailes"
83,vient de H82,ailes,"1) aile<br>  1a) d'un oiseau (colombe, aigle)<br>  1b) d'un roi Babylonien (figuré)"
84,féminin de H83,plumes,"1) aile<br>  1a) d'un oiseau (autruche, aigle, colombe)<br>  1b) de Dieu (métaphorique)"
85,contraction De H1 et d'une racine voulant peut-être dire nombreux,Abraham,"Abraham = ""père élevé "" ou ""père d'une multitude""<br>1) ami de Dieu et fondateur de la nation Hébreu par son alliance avec Dieu"
86,probablement mot égyptien du sens de s'agenouiller,A genoux !,1) (sens douteux) - un cri pour annoncer le char de Joseph
87,contraction de H48,Abram,"Abram = ""père élevé ""<br>1) nom originel d'Abraham"
88,pluriel de H178,Oboth,"Oboth = ""des outres"", ""creux"", ""esprit""<br>1) site indéterminé d'un camp des Israélites dans le désert (peut-être à l'est de la frontière de Moab)"
89,"dérivation incertaine, comparer avec H90",Agué,"Agué = ""fugitif"", ""dompteur de chevaux""<br>1) père d'un guerrier de David"
90,"dérivation incertaine, comparer avec H89",Agag,"Agag = ""flamboyant"", ""guerrier"", ""sublime""<br>1) roi d'Amalek, épargné par Saïl mais tué par Samuel"
91,patronyme de H90,Agaguite,1) vient d'Agag<br>2) Haman est appelé : Haman l'Agaguite
92,vient d'une racine du sens de lier,bouquet,"1) bande, reliure, cordes, bandes de soldats<br>  1a) bouquet d'hysope<br>  1b) voûte des cieux, reliant la terre aux cieux"
93,probablement origine Perse,noyers,"1) noix, noyers"
94,participe de H103,Agur,"Agur = ""qui rassemble, collectionneur""<br>1) fils de Jaké, l'auteur ou celui qui a collecté Proverbes 30"
95,vient du même mot que H94,pièce,"1) payement, pièce, pièce de monnaie"
96,vient d'une racine du sens de couler comme des gouttes,gouttes,"1) gouttes, réservoir, collecteur d'eau, magasins"
97,double de H96,Eglaïm,"Eglaïm = ""double réservoir""<br>1) une ville de Moab"
98,vient d'une racine du sens de collecter comme de l'eau,étang,"1) mare, bassin troublé<br>  1a) marais troublé ou boueux (sombre)<br>  1b) toute mare, étang<br>  1c) marais à roseaux ou jonc"
99,vient probablement De H98 (eau stagnante),attristé,1) triste comme de l'eau stagnante
100,vient du même mot que H98,jonc,"1) jonc, roseau<br>  1a) corde ou ligne<br>  1b) humble, insignifiant (métaphorique)<br>2) triste, pencher la tête"
101,vient probablement de H5059,bassins,"1) bol, coupe, bassin<br>  1a) bassins utilisés pour le rituel<br>  1b) courbes du corps humain (métaphorique)<br>  1c) famille d'Eliakim (métaphorique)"
102,vient probablement De H5062 (idée de menaçant),troupes,"1) aile (d'une armée), bande, armée, horde"
103,racine primaire,amasse,"1) recueillir, rassembler, récolter"
104,(araméen) origine Perse,lettre,"1) lettre, missive (mot emprunté à l'araméen, utilisé dans l'AT)"
105,dérivation incertaine,bassins,"1) vaisselle, corbeille, sac de cuir, cuvette"
106,vient De H1640 (sens de saisir),poing,1) poing
107,vient de H104,lettre,"1) lettre, missive"
108,vient du même mot que H181,vapeur,"1) brume, vapeur"
109,racine primaire,attrister,"1) attrister, affliger, chagriner<br>  1a) être la cause d'un chagrin, d'une affliction"
110,vient probablement De H109 (sens de châtiment) et H410,Abdeel,"Adbeel = ""châtié de Dieu"", ""serviteur de Dieu""<br>1) troisième fils d'Ismaël et petit-fils d'Abraham"
111,probablement variante orthographique de H2301,Hadad,"Hadad = ""puissant"", ""le plus haut""<br>1) ennemi Edomite que Dieu a élevé pour punir Salomon de ses péchés"
112,dérivation incertaine,Iddo,"Iddo = ""opportun"", ""favori""<br>1) chef Israélite au temps d'Esdras au retour de Babylone"
113,vient d'une racine du sens de gouverner,seigneur,"1) Le Seigneur Dieu, Seigneur de toute la terre<br>2) seigneur, maître, roi, mari, prophète, gouverneur, intendant...<br>3) Seigneur des seigneurs (l'éternel)<br>4) mon Seigneur et mon Dieu"
114,probablement forme intensive de H113,Addon,"Addon = ""puissant"", ""fort"", ""calamité ""<br>1) un Israélite ?"
115,double De H142 (dans le sens d'éminence),Adoraïm,"Adoraïm = ""double gloire"", ""double demeure"", ""honneur""<br>1) ville de Juda fortifiée par Roboam, environ 8 km Sud Ouest Hébron"
116,(araméen) dérivation incertaine,alors,"1) alors, ensuite, depuis ce temps"
117,vient de H142,puissant,"1) grandeur, majesté<br>  1a) des eaux de la mer<br>  1b) d'un arbre<br>  1c) des rois, des nations, des dieux"
118,dérivation du Perse,Adalia,"Adalia = ""ferme, déterminé ""<br>1) cinquième fils de Haman, exécuté en même temps que son père"
119,dérivation inconnue,rouge,"1) être de couleur rouge<br>2) couleur voyante et vive, comme les péchés"
120,vient de H119,Adam,"Adam ="" être humain"", ""de la terre"" Adamah: terre, sol<br>1)) homme<br>  1a) homme, être humain<br>  1b) genre humain (sens le plus fréquent de l'Ancien Testament)<br>  1c) Adam, premier homme<br>  1d) ville de la vallée du Jourdain, à côté de Tsarthan"
121,même mot que H120,Adam,"Adam = "" être humain"", ""de la terre""<br>1) premier homme<br>2) ville de la vallée du Jourdain"
122,vient de H119,roux,"1) rouge, roux (homme, cheval, génisse, vêtement, eau, lentilles)"
123,vient de H122,édom,"édom = ""rouge"", ""de couleur rousse""<br>1) édom<br>2) édomites - descendants d'Esaï<br>3) Idumée - (Marc 3.8) territoire sud et sud-est de Palestine"
124,vient de H119,sardoine,1) rubis<br>  1a) pierre précieuse
125,"duplication, vient de H119",rougeâtre,1) rougeâtre
126,contraction de H127,Adma,"Adma = ""de la terre"", ""terrasses""<br>1) ville dans la vallée de Siddim"
127,vient de H119,terre,"1) terrain, terre, sol<br>  1a) terre (en général)<br>  1b) terrain, morceau spécifique<br>  1c) terre comme matériau de construction<br>  1d) partie visible du monde"
128,même mot que H127,Adama,"Adama = ""la terre, le sol""<br>1) ville forte de Nephtali"
129,vient de H127,Adami,"Adami = ""territoire""<br>1) une passe ou un lieu fortifié en Nephthali"
130,patronyme de H123,Edomite,1) Edomite
131,pluriel de H121,Adummim,"Adummim = ""terrains rouges""<br>1) passe ou crête de collines à l'ouest de Guilgal"
132,vient de H119,blond,"1) rouge, roux (d'Esaï enfant)<br>2) Segond traduit par blond (pour David)"
133,probablement dérivation du Perse,Admatha,"Admatha = ""un témoignage"", ""brun"", ""don de Dieu""<br>1) prince de Perse sous le règne d'Assuérus (Xerxès)"
134,vient du même mot que H113 (sens de force),bases,"1) base, piédestal, socle (fort, ferme)<br>  1a) piédestals, bases, ou socles sur lesquels tenait le tabernacle"
135,vient du même mot que H134,Addan,"Addan = ""fort, ferme"", ""calamité ""<br>1) lieu de Babylone, d'où sont retournés les exilés"
136,forme emphatique de H113,Seigneur,"1) mon seigneur, seigneur<br>  1a) d'un homme<br>  1b) de Dieu<br>2) titre donné au lieu de Yahvé par les Juifs, en signe de révérence"
137,vient De H113 et H966,Adoni-Bézek,"Adoni-Bézek = ""mon Seigneur est Bézek"" = ""seigneur des éclairs""<br>1) roi de la ville Cananéenne de Bézek, tué par les Israélites"
138,vient De H113 et H3050,Adonija,"Adonija = ""Yahvé est seigneur""<br>1) quatrième fils de David et rival de Salomon pour le trône<br>2) Lévite envoyé par Josaphat pour enseigner la loi<br>3) un chef du peuple qui coopéra avec Néhémie"
139,vient De H113 et H6664,Adoni-Tsédek,"Adoni-Tsédek = ""mon seigneur est juste""<br>1) roi Cananéen tué par Josué"
140,vient De H113 et H6965,Adonikam,"Adonikam = ""mon seigneur s'est levé ""<br>1) le chef d'un clan Israélite qui retourna de l'exil"
141,vient De H113 et H7311,Adoniram,"Adoniram = ""le seigneur est exalté ""<br>1) un des intendants de Salomon"
142,racine primaire,magnifique,"1) être grand, majestueux, sage, noble poétique"
143,probablement dérivation étrangère,Adar,"Adar = ""glorieux"", ""aire"", ""dieu du feu""<br>1) douzième mois, correspondant à nos mois Mars - Avril"
144,(araméen) correspondant à H143,Adar,"Adar = ""glorieux"", ""aire"" assyro-babylonien addaru : sombre, nuageux<br>1)) 12 ème mois de l'année juive (mars ou avril)"
145,vient de H142,magnifique,"1) gloire, magnificence<br>2) manteau, vêtement large"
146,vient de H142,Addar,"Addar (ou Adar) = ""glorieux"", ""aire""<br>1) fils de Béla<br>2) ville de Juda près d'Edom, frontière méridionale de la Palestine"
147,(araméen) vient d'une racine correspondant à H142,aire,1) aire de battage de la moisson
148,"(araméen) vient de H147, et H1505",grands juges,"1) juge, conseiller"
149,(araméen) probablement origine Perse,ponctuellement,"1) correctement, exactement, sérieusement"
150,d'origine Perse,dariques,"1) drachme, darique - unité de poids et valeur (en monnaie d'or) égale à 128 grains ou 4,32 grammes"
151,"forme raccourcie de H141, Adoniram",Adoram,"Adoram = ""mon Seigneur est exalté ""<br>1) un intendant de David<br>2) un intendant de Roboam"
152,vient De H142 et H4428,Adrammélec,"Adrammélec = "" (le dieu) Adar est roi"" = ""la magnificence du roi""<br>1) idole ou dieu de Sepharvaïm, introduit en Israël par Salmanasar le cinquième<br>2) fils et meurtrier de Sanchérib"
153,(araméen) variante orthographique pour H1872,par violence,"1) fort, force, arme, pouvoir, puissance, violence"
154,vient d'un équivalent de H153,édréi,"édréi = ""bon pâturage"", ""fort"", ""bras""<br>1) capitale de Basan, au nord du fleuve Jabbok"
155,féminin de H117,manteau,"1) gloire, manteau<br>  1a) gloire, magnificence (d'une vigne, d'un bétail)<br>  1b) manteau, fait de fourrure ou matériau fin<br>     1b1) vêtement de prophète"
156,racine primaire,bat,"1) battre le blé, fouler aux pieds, piétiner"
157,racine primaire,aimer,"1) aimer<br>  1a) amour humain pour d'autres, familial ou sexuel<br>  1b) amour humain pour quelque chose: nourriture, boisson, sommeil<br>  1c) amour pour Dieu<br>  1d) amour de Dieu pour les hommes, comme individus, comme peuple"
158,vient de H157,amours,1) amours (seulement au pluriel)<br>2) (TWOT) amour
159,vient de H156,volupté,1) objet aimé<br>2) (TWOT) amour
160,vient de H158,amour,1) amour<br>  1a) humain pour un sujet humain<br>2) amour de Dieu pour son peuple
161,vient d'une racine du sens d'être uni,Ohad,"Ohad = ""puissant"", ""qui réunit"", ""qui lie""<br>1) fils de Siméon et petit-fils de Jacob"
162,apparemment mot primaire exprimant la peine par exclamation,Ah,1) ah! Malheur! hélas! ...
163,probablement origine étrangère,Ahava,"Ahava = ""Je subsisterai"", ""ruisseau""<br>1) ville ou lieu en Babylonie"
164,vient du même mot que H161,éhud,"contraction de Abihud ? éhud = ""Je remercierai: je serai loué "" = ""uni, non divisé, fort"" dans (1 Chroniques 8.6) seulement<br>1)) Benjamite juge d'Israël, libérateur d'Israël de Moab<br>2) un autre Benjamite, fils de Bilhan (1 Chroniques 8.6)"
165,apparemment variante orthographique pour H346,où,1) où
166,une racine primaire,brillante,"1) être clair, briller, brillant"
167,vient de H168,dresser sa tente,"1) dresser, lever, déplacer une tente"
168,vient de H166,tente,"1) tente<br>  1a) du nomade, et symboliquement vie au désert<br>  1b) demeure, maison, habitation<br>  1c) la tente de l'éternel (le tabernacle)"
169,même mot que H168,Ohel,"Ohel = ""tente"", ""famille""<br>1) fils de Zorobabel"
170,"forme de H168, mais en fait pour ""Oholahh"" (o-hol-aw')",Ohola,"Ohola = ""sa propre tente""<br>1) Samarie comme adultère avec l'Assyrie (métaphorique)"
171,vient De H168 et H1,Oholiab,"Oholiab = ""la tente du père""<br>1) assistant de Betsaleel dans la construction du tabernacle"
172,vient de H168,Oholiba," Oholiba = ""la femme de la tente""<br>1) (métaphorique) Jérusalem épouse adultère de l'éternel"
173,vient De H168 et H1116,Oholibama,"Oholibama = ""tente du haut lieu""<br>1) épouse d'Esaï<br>2) chef d'Edom"
174,d'origine étrangère,aloès,"1) aloès (arbre, parfum)"
175,dérivation incertaine,Aaron,"Aaron = ""haut placé ou éclairé ""<br>1) Frère aîné de Moïse, un Lévite et le premier souverain sacrificateur."
176,forme courte de H185,ou,"1) ou<br>  1a) impliquant que le dernier choix est meilleur<br>  1b) introduction d'un exemple à voir sur un principe particulier<br>  1c) (en série) soit ... ou, si ... ou<br>  1d) excepté, ou sinon"
177,vient De H176 et H410,Uel,"Uel = ""volonté de Dieu""<br>1) fils de Bani, qui renvoya son épouse étrangère au temps d'Esdras"
178,vient du même mot que H1 (idée de bavarder avec un ancêtre),morts,"1) outre en peau pour l'eau<br>2) celui qui évoque les morts, l'esprit d'un mort, revenant"
179,vient probablement de H56,Obil,"Obil = ""conducteur de chameau""<br>1) responsable des chameaux de David"
180,vient De H2986 (dans le sens de H2988),fleuve,"1) courant, fleuve, rivière, ruisseau"
181,vient d'une racine du sens de râteler,tison,"1) tison, braise"
182,vient du même mot que H181,à cause,"1) cause<br>  1a) cause, raison de, l'occasion de"
183,une racine primaire,désir,"1) désirer, incliner, convoiter, souhaiter, vouloir ... (nourriture, boisson, appétits corporels)"
184,une racine primaire,tracerez,"1) signer, marquer, décrire avec une marque<br>  1a) mesurer, tracer"
185,vient de H183,désir,"1) désirer, vouloir (pas nécessairement en mal)"
186,peut-être par permutation pour H5813,Uzaï,"Uzaï = ""je serai arrosé "", ""rapidité de l'éternel""<br>1) un Judéen, un des réparateurs des murs de Jérusalem"
187,dérivation incertaine,Uzal,"Uzal = ""je serai inondé "" voir aussi définition <a href=""strong-hebreu-235.html"" title=""Strong hébreu 0235"">0235</a><br>1) sixième fils de Jokthan"
188,vient probablement De H183 (sens de crier),malheur,1) malheur! hélas! oh!<br>  1a) cri passionné de chagrin ou de désespoir
189,vient probablement de H183,évi,"évi = ""désir, convoitise""<br>1) un des cinq chefs de Madian"
190,vient de H188,Malheureux,1) malheureux!
191,vient d'une racine (du sens d'être entêté),insensé ,"1) être fou, sot<br>  1a) celui qui manque de sagesse, qui est licencieux"
192,"dérivation de l'Araméen, du sens possible de soldat de Merodac",évil-Merodac,"évil-Merodac = ""homme de Merodac"" = ""insensé du carnage""<br>1) fils et successeur de Nebucadnetsar, roi de l'empire Néo-Babylonien 560 Av. JC"
193,"vient d'une racine du sens de tordre, c'est à dire être fort",grands,"1) pré éminence<br>  1a) du corps, ventre (méprisant)<br>  1b) de nobles, hommes riches"
194,vient de H176,peut-être,"1) peut-être, par hasard<br>2) si d'aventure<br>3) à moins que ... ne<br>4) supposer"
195,dérivation du Perse,Ulaï,"Ulaï = ""mes chefs (puissants)"", ""eau boueuse""<br>1) fleuve d'Elam"
196,vient de H191,insensé,"1) sot, insensé"
197,vient De H481 (sens de silence),portique,"1) portique, vestibule<br>  1a) du temple de Salomon<br>  1b) du palais de Salomon<br>  1c) du temple de la vision d'Ezéchiel"
198,vient apparemment De H481 (sens de mutisme),Ulam,"Ulam = ""solitaire""<br>1) un Manassite<br>2) un Benjamite de la famille de Saïl"
199,apparemment variante de H194,mais,"1) mais, mais en effet<br>2) cependant, néanmoins"
200,vient du même mot que H191,folie,"1) folie, sottise"
201,vient de H559,Omar,"Omar = ""orateur"", "" éloquent"", ""montagnard"", ""qui est dessus""<br>1) petit-fils d'Esaï"
202,vient probablement du même mot que H205 (sens d'effort avec succès),force,1) vigueur générant le pouvoir<br>2) richesse<br>3) force physique des hommes
203,même mot que H202,On,"On = ""richesse"" ou ""force, vigueur""<br>1) un chef de la tribu de Ruben"
204,vient d'un mot égyptien,On,"On = ""lumière"", ""soleil""<br>1) ville de Basse égypte, siège principal du culte solaire, appelée Héliopolis par les Grecs"
205,"vient d'une racine peut-être du sens de haleter, mais en vain",iniquité,"1) malheur, méchanceté, douleur<br>  1a) idolâtrie"
206,même mot que H205,Aven,"Aven = ""vanité "", ""vide, néant""<br>1) nom utilisé pour des lieux d'adoration idolâtre<br>  1a) cité d'Egypte, peut-être On (Ezéchiel 30.17)<br>  1b) Beth-Aven avec l'adoration du veau (Osée 10.8)<br>  1c) ville ou région de Syrie (Amos 1.5)"
207,prolongation de H202,Ono,"Ono = ""fort""<br>1) cité de Benjamin<br>2) une vallée (d'artisans)"
208,variante de H209,Onam,"Onam = ""fort, riche"", ""lassitude, iniquité ""<br>1) Horien, petit-fils de Séir<br>2) chef de Juda, descendant de Jerachmeel"
209,variante de H207,Onan,"Onan = ""vigoureux"", ""lassitude"", ""iniquité ""<br>1) fils de Juda et d'une Cananéenne, tué par Dieu pour ne pas avoir respecté le commandement lévitique d'assurer une postérité à la femme de son frère"
210,peut-être une modification de H211,Uphaz,"Uphaz = "" île d'or fin""<br>1) un lieu célèbre pour son ou (site inconnu)"
